QUY TRÌNH TỔNG HỢP FE-N-CARBON AEROGEL TỪ XƠ DỪA + CHẾ TẠO ĐIỆN CỰC (ĐÃ HIỆU CHỈNH v2)
Giai đoạn,Bước,Mô tả,Hóa chất / Vật liệu,Hàm lượng / Nồng độ,Thiết bị,Thông số thiết bị,Thời gian,Lưu ý / Cảnh báo,Kết quả kỳ vọng
"GĐ1
Tiền xử lý
xơ dừa",1.1,"Rửa sạch, loại lignin, tạp chất","NaOH, H₂O cất",NaOH 2% (w/v); tỉ lệ rắn:lỏng = 1:20 (g:mL),"Bình cầu 500mL, bếp từ gia nhiệt","80°C, 2h, khuấy 300 rpm",2h,⚠ NaOH >5% → phá hủy cellulose. Rửa đến pH trung tính bằng DI water,"Xơ dừa sạch, trắng hơn, loại hemi-cellulose & lignin"
,1.2,TẨY TRẮNG bằng H₂O₂ – Loại lignin còn lại & nhóm màu,"H₂O₂ 30%, NaOH",H₂O₂ 3–5% (v/v) trong NaOH 1%; tỉ lệ 1:20,"Bình thủy tinh, bếp từ","60°C, 2–4h, khuấy nhẹ 100 rpm",2–4h,"⚠ H₂O₂ là chất oxy hóa mạnh – KHÔNG đậy kín bình (áp suất). Tránh tiếp xúc da/mắt.
⚠ pH phải >10 để H₂O₂ hoạt động hiệu quả (kiềm kích hoạt H₂O₂).
✅ Sau bước này: rửa kỹ đến pH 7; sấy 60°C/12h","Xơ dừa TRẮNG RÕ, giảm lignin >70%, tăng độ tinh khiết cellulose"
,1.3,Sấy khô sơ bộ,—,—,Tủ sấy,"60°C, 12h",12h,Độ ẩm phải <5% trước bước hòa tan. Dùng cân phân tích kiểm tra khối lượng trước/sau,"Xơ dừa khô, giòn"
,1.4,Nghiền mịn,—,—,Máy xay hoặc ball mill,Tốc độ cao 30 min → rây ≤200 mesh,1–2h,Kích thước đồng đều → gel đồng nhất hơn. Lưu mẫu trong túi zip kín,"Bột xơ dừa mịn, trắng, kích thước ≤75µm"
"GĐ2
Tổng hợp
hydrogel",2.1,Hòa tan cellulose trong hệ NaOH/Urea,"NaOH, Urea, H₂O cất","NaOH 7% / Urea 12% / H₂O (w/w); cellulose 2–4 wt%
Ví dụ: 100g dd = 7g NaOH + 12g Urea + 81g H₂O + 2–4g cellulose bột","Tủ đông (−12°C), máy khuấy","Đông −12°C/12h → rã đông RT → khuấy mạnh 1000rpm/1h
Lặp 2–3 chu kỳ cho đến trong suốt",12–24h,"⚠ Nồng độ cellulose >5% → khó hòa tan → tăng chu kỳ đông-rã
⚠ Không khuấy khi còn đông → tan không đều","Dung dịch cellulose trong suốt, nhớt, không cặn"
,2.2,Thêm Fe-doping (FeCl₃),FeCl₃·6H₂O,"0.5 / 1.0 / 1.5 / 2.0 wt% so với cellulose (4 mức khảo sát)
Ví dụ: 4g cellulose → thêm 0.02 / 0.04 / 0.06 / 0.08g FeCl₃·6H₂O",Máy khuấy từ,"RT, nhỏ giọt từ từ (dropwise), khuấy 500 rpm, 30 min",0.5h,"⚠ Fe³⁺ thủy phân ở pH cao → nhỏ giọt, khuấy liên tục. Màu vàng nhạt là bình thường.
✅ Không thấy kết tủa nâu = dấu hiệu tốt","Dung dịch cellulose-Fe đồng nhất, màu vàng nhạt"
,2.3,Thêm N-doping (Melamine),Melamine (nghiền mịn trước),"0.5–2.0 wt% so với cellulose
Ưu tiên: Melamine 1 wt% (thực nghiệm ban đầu)","Máy khuấy từ, cối nghiền","RT, phân tán từng chút, khuấy 30 min",0.5h,"Melamine ít tan trong nước → nghiền mịn trước; phân tán từ từ để tránh vón cục
✅ Urea trong dung môi ban đầu đã cung cấp một phần N → Melamine = nguồn N bổ sung","Hỗn hợp đồng nhất, không cặn"
,2.4,Gel hóa (Crosslinking bằng Citric acid – GREEN),Citric acid monohydrate,"10 wt% so với cellulose
Ví dụ: 4g cellulose → 0.4g citric acid hòa tan trong 2mL DI water, thêm vào gel","Bếp từ, khuôn silicon/PTFE","50°C, 4–6h, không khuấy sau khi đổ khuôn",4–6h,"✅ ƯU TIÊN Citric acid thay ECH vì: thân thiện môi trường (green chemistry), dễ publish Q1 hơn
⚠ ECH: nếu dùng, phải trong tủ hút – độc hại, cần xử lý chất thải
⚠ Không mở nắp trong 4h đầu → gel đồng đều","Hydrogel cứng, đàn hồi, không chảy khi lật ngược"
"GĐ3
Solvent
Exchange
(KHÔNG TMCS)",3.1,Trao đổi dung môi: H₂O → Ethanol,Ethanol tuyệt đối 99.8%,"Ngâm gel trong EtOH 100%, thay 3 lần, mỗi lần 100mL/g gel",Bình thủy tinh có nắp,"RT, mỗi lần 2h",3×2h = 6h,"Thay dần (50% EtOH → 70% → 100%) nếu gel dễ vỡ
Bước này loại hoàn toàn H₂O → alcogel","Alcogel (gel EtOH), trong suốt hơn"
"⚠️ GIẢI THÍCH
VÀ QUYẾT ĐỊNH
VỀ TMCS",,TẠI SAO SHEET CŨ CÓ TMCS? VÀ CÓ NÊN DÙNG KHÔNG?,,"TMCS được dùng trong quy trình AMBIENT DRYING để ngăn aerogel bị collapse:
Cơ chế: TMCS gắn nhóm −Si(CH₃)₃ lên bề mặt gel → bề mặt kỵ nước → giảm lực căng bề mặt khi bay hơi dung môi → cấu trúc xốp được bảo toàn

NHƯNG: Đối với SENSOR ION KIM LOẠI:
• Ion kim loại (Pb²⁺, Cd²⁺) là cation PHÂN CỰC, cần bề mặt ƯA NƯỚC để tiếp cận electrode
• Sau carbonization 800°C: Nhóm −Si(CH₃)₃ BỊ PHÂN HỦY HOÀN TOÀN (≥400°C) → tính kỵ nước do TMCS BIẾN MẤT
→ Carbon aerogel sau nung: bề mặt carbon KHÔNG còn TMCS, chỉ còn N, Fe, và defects

KẾT LUẬN: TMCS an toàn để dùng trong ambient drying NẾU sau đó có carbonization ≥700°C
Tuy nhiên: nếu LO NGẠI hoặc không có điều kiện an toàn → THAY THẾ bằng:
• Phương án A: Ethanol supercritical (nếu có thiết bị)
• Phương án B: t-Butanol freeze substitution (dùng t-BuOH thay H₂O, sấy đông)
• Phương án C (KHUYẾN NGHỊ ĐƠN GIẢN): Sấy thường KHÔNG TMCS + chấp nhận S_BET thấp hơn ~20%",,,,,"QUYẾT ĐỊNH CHO DỰ ÁN NÀY:
→ KHÔNG dùng TMCS (đơn giản hóa, an toàn, phù hợp sensor ion KL)
→ Dùng Ethanol solvent exchange + sấy thường trực tiếp
→ Bù lại bằng: tối ưu nhiệt độ carbonization (800°C) + KOH activation (tùy chọn)"
