Para | Đề tài nghiên cứu tổng hợp carbon aerogel pha tạp ... | Đề tài nghiên cứu tổng hợp carbon aerogel pha tạp ...
Para | Bảng 2.1: Tóm tắt thông số SOP và Biện luận cơ chế... | Bảng 2.1: Tóm tắt thông số SOP và Biện luận cơ chế...
Para | Hình 2.1. Sơ đồ quy trình thực nghiệm tổng hợp Cel... | Hình 2.1. Sơ đồ quy trình thực nghiệm tổng hợp Cel...
Para | Hình 2.2. Sơ đồ quy trình chuyển hóa Cellulose Aer... | Hình 2.2. Sơ đồ quy trình chuyển hóa Cellulose Aer...
Para | Sự phát triển nhanh chóng của các hoạt động công n... | Sự phát triển nhanh chóng của các hoạt động công n...
Para | Theo QCVN 08:2023/BTNMT (Quy chuẩn kỹ thuật quốc g... | Theo QCVN 08:2023/BTNMT (Quy chuẩn kỹ thuật quốc g...
Para | Đặc biệt, HPLC sử dụng lượng lớn dung môi hữu cơ đ... | Đặc biệt, HPLC sử dụng lượng lớn dung môi hữu cơ đ...
Para | Yếu tố quyết định hiệu năng của cảm biến điện hóa ... | Yếu tố quyết định hiệu năng của cảm biến điện hóa ...
Para | Tuy nhiên, các công trình đã công bố chủ yếu tập t... | Tuy nhiên, các công trình đã công bố chủ yếu tập t...
Para | Mặc dù carbon aerogel từ sinh khối mang lại tiềm n... | Mặc dù carbon aerogel từ sinh khối mang lại tiềm n...
Para | Dựa trên bối cảnh đó, mục tiêu cốt lõi của nghiên ... | Dựa trên bối cảnh đó, mục tiêu cốt lõi của nghiên ...
Para | Thực hiện thẩm định đầy đủ phương pháp phân tích t... | Thực hiện thẩm định đầy đủ phương pháp phân tích t...
Para | Ý nghĩa thực tiễn: Tạo ra giải pháp tái chế phế ph... | Ý nghĩa thực tiễn: Tạo ra giải pháp tái chế phế ph...
Para | Fauziyah và cộng sự (2019) đã chứng minh khả năng ... | Fauziyah và cộng sự (2019) đã chứng minh khả năng ...
Para | Fauziyah và cộng sự (2020) [5] là nhóm đầu tiên tổ... | Fauziyah và cộng sự (2020) [17] là nhóm đầu tiên t...
Para | Wu và cộng sự (2024) [9] đã tổng hợp cảm biến điện... | Wu và cộng sự (2024) [21] đã tổng hợp cảm biến điệ...
Para | Phần lớn các nghiên cứu trong giai đoạn 2015–2024 ... | Phần lớn các nghiên cứu trong giai đoạn 2015–2024 ...
Para | Phương và cộng sự (2024, Luận án TS, ĐHBK HCM) [1]... | Phương và cộng sự (2024, Luận án TS, ĐHBK HCM) [10...
Para | Nguyễn Thị Thanh Nguyễn và cộng sự (2021) [14]: Ae... | Nguyễn Thị Thanh Nguyễn và cộng sự (2021) [7]: Aer...
Para | Nguyễn Quốc Việt và cộng sự (2014) [46]: Đặc trưng... | Nguyễn Quốc Việt và cộng sự (2014) [25]: Đặc trưng...
Para | 1.1.1. Thành phần hóa học của xơ dừa Bến Tre [1]... | 1.1.1. Thành phần hóa học của xơ dừa Bến Tre [10]...
Para | Cấu trúc bó sợi: Sợi xơ dừa thô tách bằng máy tước... | Cấu trúc bó sợi: Sợi xơ dừa thô tách bằng máy tước...
Para | Ảnh hưởng của tiền xử lý kiềm (NaOH): Tiền xử lý k... | Ảnh hưởng của tiền xử lý kiềm (NaOH): Tiền xử lý k...
Para | Thuyết Kén phân tử (Inclusion Complex Theory) được... | Thuyết Kén phân tử (Inclusion Complex Theory) được...
