BẢNG ĐẶC TRƯNG VẬT LIỆU & CHỈ TIÊU ĐIỆN HÓA – CƠ SỞ SO SÁNH & ĐỊNH LƯỢNG
A. ĐẶC TRƯNG VẬT LIỆU (Material Characterization)
Phương pháp,Thông tin thu được,Thông số kỳ vọng (Fe-N-CA tốt),Thiết bị,Điều kiện đo,Mẫu đối chứng cần thiết,Lưu ý phân tích,Liên quan đến bài báo nào,Ưu tiên
XRD (Powder),"Cấu trúc tinh thể, mức độ carbon hóa, peak Fe₃C/Fe-N","Peak C(002) ~26°, D-band/G-band ratio; không có peak Fe oxide lớn",Máy XRD (Cu-Kα),"2θ: 5–80°, step 0.02°/s","Graphite chuẩn, CA-không doping",Dùng Debye-Scherrer để tính kích thước tinh thể,"P1, P2, P4",★★★
Raman Spectroscopy,Tỉ lệ D/G band → độ khuyết tật; peak 2D → graphitization,"I_D/I_G: 0.8–1.2 (khuyết tật vừa, tốt cho sensor)",Raman 532nm laser,"5 điểm đo, power <5mW tránh cháy mẫu","CA-N, CA-Fe, CA-blank",Plot 3D map nếu có confocal Raman,"P1, P2, P4",★★★
BET (N₂ adsorption),"Diện tích bề mặt, phân bố lỗ xốp (mesopore/micropore)",S_BET >500 m²/g; V_pore >0.5 cm³/g; d_pore 2–50nm (mesopore),BET analyzer,"Degass 200°C, 6h trước đo",CA-bare (không doping),Dùng BJH cho phân bố lỗ xốp,"P1, P2, P3",★★★
SEM + EDX,"Hình thái bề mặt, phân bố Fe, N","Cấu trúc 3D xốp; EDX: N ~2–8 at%, Fe ~1–5 at%",SEM-EDX,"10 kV, coating Au/Pd",CA-bare,"Chụp ít nhất 5 vùng, phóng đại 1k–50k×","P1, P2",★★★
TEM + SAED,"Cấu trúc nano, Fe nanoparticles (<10nm)","Fe NPs phân tán đều, d<5nm; SAED: vòng graphite mờ",HRTEM,200 kV,CA-Fe (không N),Đếm kích thước ≥50 particles,P4,★★
XPS (X-ray Photoelectron),"Trạng thái hóa học Fe (Fe²⁺/Fe³⁺), N (pyridinic/pyrrolic/graphitic)",N: pyridinic-N chiếm ưu thế (398.5 eV); Fe 2p: Fe-Nx ~710 eV,XPS,"Al-Kα, pass energy 20eV","CA-blank, CA-N",Deconvolution peak dùng CasaXPS/Origin,"P1, P2, P4",★★★
TGA,"Độ bền nhiệt, hàm lượng tro (Fe oxide còn lại)",Mất khối <5% dưới 400°C; tro ~5–15%,TGA,"N₂, 25→900°C, 10°C/min",CA-bare,Tính % Fe thực tế trong mẫu,P1,★★
FTIR,"Nhóm chức (−OH, C=N, Fe−N, C−N)","Mất peak −OH sau carbon hóa; xuất hiện C≡N, C−N",FTIR (KBr pellet hoặc ATR),400–4000 cm⁻¹,"Xơ dừa ban đầu, cellulose chuẩn",So sánh trước/sau carbonization,P4,★★
B. CHỈ TIÊU ĐIỆN HÓA – CƠ SỞ SO SÁNH (Electrochemical Performance)
