,CÂN BẰNG KHỐI LƯỢNG – TỔNG HỢP CARBON AEROGEL TỪ XƠ DỪA (100g nguyên liệu)
,"Cơ sở: 100 g xơ dừa khô tuyệt đối (coir fiber, độ ẩm 0%). Thực tế cân 110–115 g xơ dừa tươi (~8–12% ẩm)"
,Giai đoạn / Bước,Đầu vào (g),Đầu ra (g),Thất thoát (g),Hiệu suất (%),Vật liệu thu được,Ghi chú chính,Nguyên nhân thất thoát
,GĐ0 – Nguyên liệu ban đầu (xơ dừa thô),100,100,0,1,Xơ dừa thô 100 g,"Rửa sơ bộ bằng nước loại bụi, đất cát",Không thất thoát
,GĐ1a – Xử lý NaOH loại lignin (kiềm hóa),100,75,25,0.75,Xơ sau kiềm hóa ~75 g,"NaOH 4% w/v, 80°C, 2h; rửa pH 7","Lignin ~20g, tạp hòa tan ~5g"
,GĐ1b – Tẩy trắng H₂O₂ (loại lignin còn lại),75,62,13,0.8270000000000001,Xơ tẩy trắng ~62 g,"H₂O₂ 3% + NaOH 1%, 60°C, 1h","Lignin còn lại ~10g, sáp ~3g"
,GĐ1c – Thủy phân HCl (loại hemicellulose),62,38,24,0.613,Cellulose tinh khiết ~38 g,"HCl 2M, 60°C, 2h; rửa trung tính","Hemicellulose ~20g, tro ~4g"
,→ – TỔNG GĐ1 (Tiền xử lý),100,38,62,0.38,Cellulose ~38 g / 100g xơ,3 bước tiền xử lý liên tiếp,Lignin+Hemicellulose+Tro = 62g
,GĐ2 – Hòa tan cellulose → Hydrogel (NaOH/Urea),38,36.1,1.9,0.95,Hydrogel khô ~36 g polymer,"NaOH 7%+Urea 12%, -12°C; đông tụ 60°C",Cellulose không tan ~5% ~1.9g
,GĐ3 – Doping Fe–N (ngâm FeCl₃ + Urea),36.1,39.2,-3.1 (tăng),1.086,Gel sau doping ~39 g (khô),"FeCl₃ 10%, Urea 20% vs cellulose; 24h",Fe hấp thu thực tế ~65%; N ~30% urea giữ lại
,GĐ4 – Sấy đổi dung môi (EtOH→tBuOH→50°C),39.2,37,2.2,0.9440000000000001,Aerogel xanh ~37 g,EtOH 96% → tert-BuOH → sấy 50°C/12h,"Dung môi còn sót, co ngót nhẹ ~2.2g"
,GĐ5 – Nhiệt phân 900°C/N₂ (Carbonization),37,9.5,27.5,0.257,Carbon aerogel ~9.5 g,"900°C, 3°C/phút, N₂ 150mL/phút, giữ 2h","Bay hơi H₂O, CO₂, CO, HCN, VOC = ~27.5g"
,"GĐ6* – Hoạt hóa KOH (tùy chọn, tỉ lệ 2:1)",9.5,6.7,2.8,0.705,Fe-N-CA hoạt hóa ~6.7 g,"KOH:C=2:1, 800°C, N₂, 1h; rửa HCl 1M",KOH ăn mòn một phần carbon ~30%
,TỔNG KẾT: 100g xơ dừa → ~9.5g Carbon Aerogel Fe-N (hoặc ~6.7g nếu có KOH activation)
,  Hiệu suất tổng thể: ~9.5% (không KOH) | ~6.7% (có KOH activation) — Phù hợp với tài liệu (8–12% từ biomass cellulose thuần)
,  Cần cân 110–115g xơ dừa thực tế (8–12% độ ẩm). Đủ để chế tạo >200 điện cực cảm biến (mỗi điện cực dùng ~5–10µg vật liệu trên GCE 3mm)
,"⚠  GĐ5 (nhiệt phân): Sinh khí CO, HCN, VOC. BẮT BUỘC có scrubber NaOH 10% và làm trong tủ hút/phòng thông gió. Không mở lò khi T > 200°C trong N₂."
