BẢNG BỐ TRÍ THÍ NGHIỆM – TỐI ƯU HÓA VẬT LIỆU & ĐIỆN CỰC (GANTT & MA TRẬN)
A. MA TRẬN BIẾN SỐ CẦN TỐI ƯU HÓA
STT,Biến số,Mức 1 (thấp),Mức 2,Mức 3 (cao),Mức 4,Số mẫu,Có thể song song?,Thiết bị chung,Thời gian (ngày),Ưu tiên
V1,Nồng độ Fe (wt%),0.5,1.0,1.5,2.0,4,✅ Song song,Lò nung,14,★★★
V2,Nhiệt độ carbonization (°C),700,800,900,—,3,✅ Song song,Lò nung,14,★★★
V3,Tỉ lệ cellulose (wt%),2,3,4,—,3,✅ Song song,Bình khuấy,7,★★
V4,Loại crosslinker,ECH,Citric acid,—,—,2,✅ Song song,Bếp từ,5,★★
V5,Nguồn N-doping,Urea (trong dd),Melamine,—,—,2,✅ Song song,Lò nung,14,★★
V6,Lượng TMCS (%),3,5,10,—,3,❌ Tuần tự (an toàn),Tủ hút,3,★★
V7,Hàm lượng vật liệu trên GCE (µg),2,5,10,—,3,✅ Song song,GCE/potentiostat,2,★★★
V8,Loại binder màng,Nafion 0.5%,Nafion 1%,Chitosan,—,3,✅ Song song,GCE,2,★★
V9,pH đo dopamine,5.0,6.0,7.0,7.4,4,✅ Song song,Potentiostat,3,★★★
V10,Electrolyte đo ion KL,ABS pH4.5,PBS pH5.0,AcB pH4.2,—,3,✅ Song song,Potentiostat,3,★★
B. LỊCH TRÌNH THỰC HIỆN (GANTT ĐƠN GIẢN – 6 THÁNG)
Giai đoạn,Công việc chính,T1,T2,T3,T4,T5,T6,Song song được?,Nhân lực đề xuất,Ghi chú
GĐ1-2,Tiền xử lý & tổng hợp hydrogel,████,████,,,,,✅ 2 người,2 người,Có thể batch 4–6 mẫu cùng lúc
GĐ3-4,"Solvent exchange, TMCS, sấy",,████,████,,,,⚠ 1 người (an toàn),1 người,"Lên lịch TMCS riêng, đặt lịch tủ hút"
GĐ5,Carbonization (700/800/900°C),,,████,████,,,✅ Batch 3 ống,1 người,Lò 3 vị trí → chạy 3 mẫu/lần
GĐ6,"Đặc trưng vật liệu (XRD, Raman, BET, SEM/TEM)",,,,████,████,,✅ Gửi song song,1–2 người,Đặt lịch máy sớm; SEM/TEM thường mất 2–4 tuần chờ
GĐ7,Chế tạo & tối ưu điện cực GCE,,,,████,████,,✅ 2 điện cực/ngày,2 người,Chuẩn bị GCE sạch trước
GĐ8,"Đo điện hóa (CV, DPV, EIS, ASV)",,,,,████,████,✅ Parallel analytes,2 người,Dopamine & ion KL đo cùng ngày nếu có 2 potentiostat
GĐ9,Phân tích số liệu & viết bài,,,,,,████,✅ Có thể từ T4,1–2 người,Bắt đầu viết từ tháng 4 khi có đặc trưng
