TỔNG QUAN NGHIÊN CỨU: CARBON AEROGEL TỪ XƠ DỪA – ĐIỆN CỰC CẢM BIẾN ĐIỆN HÓA
🎯  MỤC TIÊU NGHIÊN CỨU
Nguyên liệu,"Tổng hợp carbon aerogel từ biomass xơ dừa (nguồn rẻ, bền vững, sẵn có tại VN)"
Doping,"Doping Fe, N vào mạng lưới carbon để tăng hoạt tính điện hóa và độ nhạy cảm biến"
Điện cực,"Chế tạo màng điện cực biến tính (modified electrode) hiệu quả, tái lập"
Ứng dụng,Phát hiện đồng thời/riêng lẻ ion kim loại nặng & dopamine ở nồng độ vết (ppb–nM)
Công bố,"Mục tiêu bài báo Q1/Q2 (ACS, Elsevier, RSC) – IF ≥ 5"
⚠️  PHẠM VI & GIỚI HẠN NGHIÊN CỨU
Công nghệ sấy,"Sấy thường (ambient drying) có hỗ trợ hóa chất (TMCS/hexane hoặc ethanol);
KHÔNG dùng freeze-drying hay supercritical CO₂ → tiết kiệm chi phí"
Nguyên tố doping,"Ưu tiên Fe + N; cân nhắc thêm S hoặc P nếu cần tăng tính mới;
Tránh kim loại hiếm đắt tiền (Pt, Pd, Au)"
Chất phân tích,"Ion kim loại: Pb²⁺, Cd²⁺, Cu²⁺ (DPV/ASV);
Dopamine (DA) (DPV, pH 7.4 PBS);
Có thể thêm ascorbic acid (AA), uric acid (UA) để chứng minh tính chọn lọc"
Phương pháp tạo màng,"Drop-casting hoặc Nafion-binding trên GCE (glassy carbon electrode 3mm);
Tránh electrodeposition nếu không có thiết bị phù hợp"
Không nằm trong phạm vi,"Không tổng hợp aerogel siêu tới hạn; không thử nghiệm lâm sàng;
Không dùng nguyên liệu ngoài biomass xơ dừa"
✨  ĐIỂM MỚI – NOVELTY (Quan trọng để đạt Q1/Q2)
1,"Sử dụng xơ dừa (coir fiber) – nguồn biomass bản địa VN – ít được nghiên cứu hơn rơm rạ, vỏ trấu"
2,Ambient drying kết hợp surface modification (TMCS) → giảm collapse; chi phí thấp hơn freeze-drying 10×
3,Đồng doping Fe-N tạo vị trí hoạt động kép: Fe²⁺/Fe³⁺ redox + N-pyridinic tăng dẫn điện
4,Phát hiện đồng thời Pb²⁺ + dopamine trên cùng 1 điện cực → ít bài đã công bố
5,Xác nhận cơ chế bằng DFT (density functional theory) hoặc in-situ Raman → nâng hạng bài báo
