LỜI KHUYÊN TỪ GIÁO SƯ HƯỚNG DẪN – NHỮNG SAI PHẠM & CÁCH KHẮC PHỤC
STT,Loại vấn đề,Mô tả sai phạm phổ biến,Hậu quả,Cách khắc phục / Lưu ý,Ưu tiên
S1,Tổng hợp,Dùng nồng độ NaOH quá cao (>5%) khi tiền xử lý,Phá hủy cấu trúc cellulose → không tạo gel được,"Giữ NaOH 2%, tăng thời gian xử lý lên 3–4h nếu cần làm sạch hơn",★★★
S2,Tổng hợp,Thêm Fe³⁺ quá nhanh vào dung dịch kiềm,Fe(OH)₃ kết tủa → phân tán không đều → EDX thấy Fe cục bộ,"Thêm từng giọt (dropwise), khuấy mạnh; pH dung dịch không nên >10 khi thêm Fe",★★★
S3,Tổng hợp,Sấy thường không kiểm soát tốc độ nâng nhiệt,"Aerogel nứt vỡ, cấu trúc xốp bị collapse",Nâng nhiệt độ tối đa 10°C/h; giữ ở 60°C 12h trước khi lên 80°C,★★★
S4,Tổng hợp,Không degass N₂ kỹ trước khi nung,"O₂ còn lại → cháy mẫu, tạo CO₂ thay vì carbon",Chạy N₂ flow 30 min trước khi bật lò; kiểm tra kín khí,★★★
S5,An toàn,Thao tác TMCS không trong tủ hút,Hít phải HCl khí và TMCS → nguy hiểm sức khỏe; phản ứng với ẩm không khí,"TMCS chỉ thao tác trong tủ hút; mang găng tay nitrile, kính bảo hộ; có bình CO₂ cạnh",★★★
E1,Điện cực,Không đánh bóng GCE đúng cách trước khi modify,"Background current cao, tín hiệu DA hoặc ion KL kém, RSD >10%","Đánh bóng theo thứ tự: 1µm → 0.3µm → 0.05µm Al₂O₃; rửa siêu âm 5 min trong EtOH, DI water",★★★
E2,Điện cực,Dùng quá nhiều vật liệu CA trên GCE (>15 µg/cm²),"Màng dày → khuếch tán ion chậm → sensitivity giảm, peak tù",Tối ưu 5–10 µg/cm² là phổ biến; cần khảo sát V7 trong Sheet 3,★★★
E3,Điện cực,Không dùng fresh solution của dopamine khi đo,Dopamine bị oxy hóa ngoài không khí → nồng độ thực thấp hơn dán nhãn,"Pha fresh DA mỗi ngày; bảo quản dung dịch gốc ở 4°C, tối, không quá 1 tuần",★★★
E4,Điện cực,Không kiểm soát pH khi đo DA,"Oxi hóa DA nhạy cảm pH → E_peak dịch, sensitivity thay đổi",Luôn dùng PBS đệm 0.1M pH 7.4; đo pH trước mỗi thí nghiệm,★★★
D1,Dữ liệu,LOD tính từ đường chuẩn không ở vùng tuyến tính,"LOD sai, reviewer từ chối",Chỉ tính LOD = 3σ/S với S = slope trong linear range; vẽ residual plot,★★★
D2,Dữ liệu,So sánh với tài liệu dùng đơn vị khác nhau (ppb vs nM vs µg/L),Bảng so sánh sai → mất uy tín,Quy đổi tất cả về cùng đơn vị; Pb²⁺: dùng nM và ppb song song,★★
D3,Dữ liệu,Không làm blank/control đủ,Không chứng minh tín hiệu từ analyte → bài bị từ chối,"Luôn đo: (1) buffer blank, (2) GCE bare, (3) CA/GCE không doping, (4) mẫu đích",★★★
D4,Công bố,Bảng so sánh với tài liệu (Table comparison) thiếu reference đầy đủ,Bị nghi ngờ plagiarism hoặc fabrication,Mỗi row trong bảng comparison phải có DOI; dùng Web of Science để verify,★★★
D5,Công bố,Hình SEM không có scale bar hoặc chú thích rõ,"Reviewer yêu cầu chỉnh sửa, delay","Mọi hình SEM/TEM phải có scale bar, magnification, kV trong caption",★★
D6,Phạm vi,Đi ngoài phạm vi: thử thêm analyte không liên quan,"Bài báo mất focus, reviewer đánh giá thấp",Bám sát Pb²⁺/Cd²⁺ + DA; chỉ mở rộng khi có dữ liệu đủ chắc,★★★
